dt,auto_reply_msg_type,message_count,daily_percentage
20260301,CardQuestion,3,0.0
20260301,IntelligentResponse,226234,21.89
20260301,PMS_CARD_RESPONSE,330,0.03
20260301,PMS_TEXT_RESPONSE,73354,7.1
20260301,NULL,733582,70.98
20260302,CardQuestion,1,0.0
20260302,IntelligentResponse,202377,21.45
20260302,PMS_CARD_RESPONSE,386,0.04
20260302,PMS_TEXT_RESPONSE,68561,7.27
20260302,NULL,672169,71.24
20260303,IntelligentResponse,183591,21.72
20260303,PMS_CARD_RESPONSE,344,0.04
20260303,PMS_TEXT_RESPONSE,63519,7.51
20260303,NULL,598001,70.73
20260304,CardQuestion,1,0.0
20260304,IntelligentResponse,209108,21.4
20260304,PMS_CARD_RESPONSE,424,0.04
20260304,PMS_TEXT_RESPONSE,72051,7.37
20260304,NULL,695491,71.18
20260305,IntelligentResponse,223056,21.63
20260305,PMS_CARD_RESPONSE,459,0.04
20260305,PMS_TEXT_RESPONSE,77052,7.47
20260305,NULL,730465,70.85
20260306,IntelligentResponse,249243,21.26
20260306,PMS_CARD_RESPONSE,509,0.04
20260306,PMS_TEXT_RESPONSE,84087,7.17
20260306,NULL,838400,71.52
20260307,IntelligentResponse,252861,21.66
20260307,PMS_CARD_RESPONSE,434,0.04
20260307,PMS_TEXT_RESPONSE,81255,6.96
20260307,NULL,832597,71.34
20260308,CardQuestion,1,0.0
20260308,IntelligentResponse,212431,22.68
20260308,PMS_CARD_RESPONSE,378,0.04
20260308,PMS_TEXT_RESPONSE,69748,7.45
20260308,NULL,654185,69.84
20260309,IntelligentResponse,218233,21.66
20260309,PMS_CARD_RESPONSE,452,0.04
20260309,PMS_TEXT_RESPONSE,79635,7.9
20260309,NULL,709295,70.39
20260310,IntelligentResponse,216321,21.8
20260310,PMS_CARD_RESPONSE,413,0.04
20260310,PMS_TEXT_RESPONSE,76042,7.66
20260310,NULL,699718,70.5
20260311,IntelligentResponse,218526,21.72
20260311,PMS_CARD_RESPONSE,449,0.04
20260311,PMS_TEXT_RESPONSE,78601,7.81
20260311,NULL,708308,70.42
20260312,CardQuestion,3,0.0
20260312,IntelligentResponse,232083,21.93
20260312,PMS_CARD_RESPONSE,565,0.05
20260312,PMS_TEXT_RESPONSE,82058,7.76
20260312,NULL,743405,70.26
20260313,IntelligentResponse,290210,21.1
20260313,PMS_CARD_RESPONSE,468,0.03
20260313,PMS_TEXT_RESPONSE,90051,6.55
20260313,NULL,994540,72.32
20260314,CardQuestion,1,0.0
20260314,IntelligentResponse,282840,22.29
20260314,PMS_CARD_RESPONSE,363,0.03
20260314,PMS_TEXT_RESPONSE,87711,6.91
20260314,NULL,898263,70.78
20260315,IntelligentResponse,225157,22.72
20260315,PMS_CARD_RESPONSE,412,0.04
20260315,PMS_TEXT_RESPONSE,74828,7.55
20260315,NULL,690525,69.69
20260316,IntelligentResponse,212972,21.9
20260316,PMS_CARD_RESPONSE,465,0.05
20260316,PMS_TEXT_RESPONSE,75893,7.8
20260316,NULL,683193,70.25
20260317,IntelligentResponse,211645,21.88
20260317,PMS_CARD_RESPONSE,483,0.05
20260317,PMS_TEXT_RESPONSE,76516,7.91
20260317,NULL,678639,70.16
20260318,IntelligentResponse,216264,22.02
20260318,PMS_CARD_RESPONSE,588,0.06
20260318,PMS_TEXT_RESPONSE,77525,7.89
20260318,NULL,687733,70.03
20260319,IntelligentResponse,226248,21.94
20260319,PMS_CARD_RESPONSE,489,0.05
20260319,PMS_TEXT_RESPONSE,82960,8.05
20260319,NULL,721456,69.97
20260320,IntelligentResponse,260264,21.44
20260320,PMS_CARD_RESPONSE,434,0.04
20260320,PMS_TEXT_RESPONSE,89457,7.37
20260320,NULL,863887,71.16
20260321,CardQuestion,1,0.0
20260321,IntelligentResponse,268923,22.12
20260321,PMS_CARD_RESPONSE,452,0.04
20260321,PMS_TEXT_RESPONSE,84598,6.96
20260321,NULL,861888,70.89
20260322,IntelligentResponse,227332,23.14
